SKU,Name1,Name2
ST7x520240505_085539_IM ONLY TALKING TO MY DOG TODAY,I'M ONLY TALKING,TO MY DOG TODAY
ST7x520240505_085540_THE MORE PEOPLE I MEET THE MORE I LIKE MY DOG,THE MORE PEOPLE I MEET,THE MORE I LIKE MY DOG
ST7x520240505_085541_I LIKE DOGS COFFEE AND MAYBE 3 PEOPLE,I LIKE DOGS COFFEE,AND MAYBE 3 PEOPLE
ST7x520240505_085542_I LIKE DOGS AND MAYBE 3 PEOPLE,I LIKE DOGS AND,MAYBE 3 PEOPLE
ST7x520240505_085543_DOG ON BOARD,DOG ON,BOARD
ST7x520240505_085544_PET ON BOARD,PET ON,BOARD
ST7x520240505_085545_SERVICE DOG ON BOARD,SERVICE DOG,ON BOARD
ST7x520240505_085546_A HOUSE IS NOT A HOME WITHOUT A SHIH TZU,A HOUSE IS NOT A HOME,WITHOUT A SHIH TZU
ST7x520240505_085547_A HOUSE IS NOT A HOME WITHOUT A DOG,A HOUSE IS NOT A,HOME WITHOUT A DOG
ST7x520240505_085548_A SPOILED SHIH TZU LIVES HERE,A SPOILED SHIH,TZU LIVES HERE
ST7x520240505_085549_SHIH TZU ON BOARD,SHIH TZU,ON BOARD
ST7x520240505_085550_DOG IS NOT SPOILED IM JUST WELL TRAINED,DOG IS NOT SPOILED I'M,JUST WELL TRAINED
ST7x520240505_085551_DOGS MAKE ME HAPPY PEOPLE NOT SO MUCH,DOGS MAKE ME HAPPY!,"PEOPLE, NOT SO MUCH."
ST7x520240505_085552_DOGS MAKE ME HAPPY YOU NOT SO MUCH,DOGS MAKE ME HAPPY!,"YOU, NOT SO MUCH."
ST7x520240505_085553_IF MY DOG DOESNT LIKE YOU NEITHER DO I,IF MY DOG DOESN'T,LIKE YOU NEITHER DO I
ST7x520240505_085554_DOGS MAKE ME HAPPY HUMANS MAKE MY HEAD HURT,DOGS MAKE ME HAPPY,HUMANS MAKE MY HEAD HURT
ST7x520240505_085555_HOLD ON I SEE A DOG,HOLD ON I,SEE A DOG
ST7x520240505_085556_A HOUSE IS NOT A HOME WITHOUT PAW PRINTS,A HOUSE IS NOT A HOME,WITHOUT PAW PRINTS
ST7x520240505_085557_BE THE PERSON YOUR DOG THINKS YOU ARE,BE THE PERSON YOUR,DOG THINKS YOU ARE
ST7x520240505_085558_IF YOURE NOT THE LEAD DOG THE VIEW NEVER CHANGES,IF YOU'RE NOT THE LEAD DOG,THE VIEW NEVER CHANGES
ST7x520240505_085559_MY DOGS AND I TALK SHIT ABOUT YOU,MY DOGS AND I TALK,SHIT ABOUT YOU
ST7x520240505_085600_SPOILED DOG ON BOARD,SPOILED DOG,ON BOARD
ST7x520240505_085601_PAWS ON BOARD,PAWS ON,BOARD
ST7x520240505_085602_BABY ON BOARD,BABY ON,BOARD
ST7x520240505_085603_TALK TO THE PAW,TALK TO,THE PAW
